4.76	0.0497027	-0.0407801
4.77	0.0492981	-0.0404616
4.78	0.0488967	-0.0401453
4.79	0.0484984	-0.0398314
4.8	0.0481032	-0.0395197
4.81	0.0477111	-0.0392104
4.82	0.047322	-0.0389033
4.83	0.046936	-0.0385984
4.84	0.0465531	-0.0382958
4.85	0.0461731	-0.0379954
4.86	0.0457962	-0.0376973
4.87	0.0454221	-0.0374013
4.88	0.0450511	-0.0371075
4.89	0.0446829	-0.0368158
4.9	0.0443176	-0.0365263
4.91	0.0439553	-0.036239
4.92	0.0435957	-0.0359538
4.93	0.043239	-0.0356706
4.94	0.0428851	-0.0353896
4.95	0.042534	-0.0351107
4.96	0.0421857	-0.0348338
4.97	0.0418401	-0.034559
4.98	0.0414972	-0.0342862
4.99	0.0411571	-0.0340155
5	0.0408196	-0.0337467
5.01	0.0404848	-0.03348
5.02	0.0401526	-0.0332152
5.03	0.0398231	-0.0329525
5.04	0.0394962	-0.0326916
5.05	0.0391719	-0.0324328
5.06	0.0388501	-0.0321758
5.07	0.0385309	-0.0319208
5.08	0.0382142	-0.0316677
5.09	0.0379001	-0.0314165
5.1	0.0375884	-0.0311672
5.11	0.0372792	-0.0309197
5.12	0.0369725	-0.0306741
5.13	0.0366682	-0.0304303
5.14	0.0363663	-0.0301884
5.15	0.0360668	-0.0299483
5.16	0.0357697	-0.02971
5.17	0.0354749	-0.0294735
5.18	0.0351826	-0.0292388
5.19	0.0348925	-0.0290058
5.2	0.0346048	-0.0287746
5.21	0.0343193	-0.0285452
5.22	0.0340361	-0.0283175
5.23	0.0337552	-0.0280915
5.24	0.0334765	-0.0278672
5.25	0.0332001	-0.0276446
5.26	0.0329259	-0.0274238
5.27	0.0326538	-0.0272045
5.28	0.0323839	-0.026987
5.29	0.0321162	-0.0267711
5.3	0.0318507	-0.0265568
5.31	0.0315872	-0.0263442
5.32	0.0313259	-0.0261332
5.33	0.0310667	-0.0259238
5.34	0.0308095	-0.025716
5.35	0.0305544	-0.0255097
5.36	0.0303013	-0.0253051
5.37	0.0300503	-0.025102
5.38	0.0298013	-0.0249005
5.39	0.0295543	-0.0247005
5.4	0.0293093	-0.024502
5.41	0.0290662	-0.0243051
5.42	0.0288251	-0.0241096
5.43	0.028586	-0.0239157
5.44	0.0283488	-0.0237232
5.45	0.0281134	-0.0235323
5.46	0.02788	-0.0233427
5.47	0.0276485	-0.0231547
5.48	0.0274188	-0.0229681
5.49	0.027191	-0.0227829
5.5	0.026965	-0.0225992
5.51	0.0267408	-0.0224168
5.52	0.0265184	-0.0222359
5.53	0.0262979	-0.0220564
5.54	0.0260791	-0.0218782
5.55	0.0258621	-0.0217014
5.56	0.0256468	-0.021526
5.57	0.0254333	-0.021352
5.58	0.0252215	-0.0211793
5.59	0.0250114	-0.0210079
5.6	0.024803	-0.0208379
5.61	0.0245964	-0.0206691
5.62	0.0243913	-0.0205017
5.63	0.024188	-0.0203356
5.64	0.0239863	-0.0201708
5.65	0.0237862	-0.0200072
5.66	0.0235878	-0.0198449
5.67	0.0233909	-0.0196839
5.68	0.0231957	-0.0195241
5.69	0.023002	-0.0193656
5.7	0.0228099	-0.0192083
5.71	0.0226194	-0.0190522
5.72	0.0224304	-0.0188974
5.73	0.022243	-0.0187438
5.74	0.0220571	-0.0185913
5.75	0.0218727	-0.0184401
5.76	0.0216898	-0.01829
5.77	0.0215084	-0.0181411
5.78	0.0213284	-0.0179933
5.79	0.02115	-0.0178468
5.8	0.020973	-0.0177013
5.81	0.0207974	-0.017557
5.82	0.0206232	-0.0174139
5.83	0.0204505	-0.0172718
5.84	0.0202792	-0.0171309
5.85	0.0201093	-0.0169911
5.86	0.0199408	-0.0168523
5.87	0.0197736	-0.0167147
5.88	0.0196079	-0.0165781
5.89	0.0194434	-0.0164426
5.9	0.0192804	-0.0163082
5.91	0.0191186	-0.0161749
5.92	0.0189582	-0.0160426
5.93	0.0187991	-0.0159113
5.94	0.0186413	-0.0157811
5.95	0.0184847	-0.0156518
5.96	0.0183295	-0.0155237
5.97	0.0181755	-0.0153965
5.98	0.0180228	-0.0152703
5.99	0.0178714	-0.0151451
6	0.0177212	-0.0150209
6.01	0.0175722	-0.0148977
6.02	0.0174244	-0.0147755
6.03	0.0172779	-0.0146542
6.04	0.0171326	-0.0145339
6.05	0.0169884	-0.0144146
6.06	0.0168454	-0.0142962
6.07	0.0167037	-0.0141787
6.08	0.016563	-0.0140622
6.09	0.0164236	-0.0139465
6.1	0.0162853	-0.0138319
6.11	0.0161481	-0.0137181
6.12	0.016012	-0.0136052
6.13	0.0158771	-0.0134932
6.14	0.0157433	-0.0133821
6.15	0.0156106	-0.0132719
6.16	0.0154789	-0.0131626
6.17	0.0153484	-0.0130541
6.18	0.0152189	-0.0129465
6.19	0.0150905	-0.0128398
6.2	0.0149632	-0.0127339
6.21	0.0148369	-0.0126288
6.22	0.0147116	-0.0125246
6.23	0.0145874	-0.0124212
6.24	0.0144643	-0.0123187
6.25	0.0143421	-0.012217
6.26	0.0142209	-0.012116
6.27	0.0141008	-0.0120159
6.28	0.0139816	-0.0119166
6.29	0.0138634	-0.0118181
6.3	0.0137462	-0.0117204
6.31	0.01363	-0.0116234
6.32	0.0135147	-0.0115273
6.33	0.0134004	-0.0114319
6.34	0.013287	-0.0113372
6.35	0.0131746	-0.0112434
6.36	0.0130631	-0.0111502
6.37	0.0129525	-0.0110579
6.38	0.0128428	-0.0109662
6.39	0.0127341	-0.0108753
6.4	0.0126262	-0.0107852
6.41	0.0125193	-0.0106957
6.42	0.0124132	-0.010607
6.43	0.012308	-0.010519
6.44	0.0122037	-0.0104317
6.45	0.0121002	-0.0103451
6.46	0.0119977	-0.0102592
6.47	0.0118959	-0.010174
6.48	0.011795	-0.0100895
6.49	0.011695	-0.0100056
6.5	0.0115957	-0.00992247
6.51	0.0114973	-0.00983998
6.52	0.0113998	-0.00975815
6.53	0.011303	-0.00967699
6.54	0.011207	-0.00959648
6.55	0.0111119	-0.00951662
6.56	0.0110175	-0.0094374
6.57	0.0109239	-0.00935883
6.58	0.0108311	-0.00928089
6.59	0.010739	-0.00920359
6.6	0.0106478	-0.0091269
6.61	0.0105573	-0.00905084
6.62	0.0104675	-0.0089754
6.63	0.0103785	-0.00890057
6.64	0.0102902	-0.00882634
6.65	0.0102027	-0.00875272
6.66	0.0101159	-0.00867969
6.67	0.0100299	-0.00860725
6.68	0.0099445	-0.00853541
6.69	0.00985985	-0.00846415
6.7	0.00977592	-0.00839346
6.71	0.00969269	-0.00832335
6.72	0.00961015	-0.00825381
6.73	0.0095283	-0.00818484
6.74	0.00944714	-0.00811642
6.75	0.00936665	-0.00804857
6.76	0.00928684	-0.00798126
6.77	0.00920769	-0.0079145
6.78	0.00912921	-0.00784829
6.79	0.00905138	-0.00778262
6.8	0.00897421	-0.00771748
6.81	0.00889768	-0.00765287
6.82	0.00882179	-0.00758879
6.83	0.00874654	-0.00752523
6.84	0.00867192	-0.00746219
6.85	0.00859792	-0.00739967
6.86	0.00852454	-0.00733765
6.87	0.00845178	-0.00727615
6.88	0.00837963	-0.00721514
6.89	0.00830809	-0.00715463
6.9	0.00823714	-0.00709462
6.91	0.00816679	-0.0070351
6.92	0.00809703	-0.00697607
6.93	0.00802785	-0.00691752
6.94	0.00795926	-0.00685944
6.95	0.00789124	-0.00680185
6.96	0.00782379	-0.00674472
6.97	0.00775691	-0.00668807
6.98	0.00769059	-0.00663188
6.99	0.00762483	-0.00657614
7	0.00755962	-0.00652087
7.01	0.00749496	-0.00646605
7.02	0.00743085	-0.00641168
7.03	0.00736727	-0.00635775
7.04	0.00730423	-0.00630427
7.05	0.00724171	-0.00625123
7.06	0.00717973	-0.00619862
7.07	0.00711826	-0.00614644
7.08	0.00705732	-0.0060947
7.09	0.00699688	-0.00604338
7.1	0.00693696	-0.00599248
7.11	0.00687754	-0.005942
7.12	0.00681862	-0.00589193
7.13	0.00676019	-0.00584228
7.14	0.00670226	-0.00579304
7.15	0.00664482	-0.0057442
7.16	0.00658786	-0.00569576
7.17	0.00653139	-0.00564773
7.18	0.00647539	-0.00560009
7.19	0.00641986	-0.00555284
7.2	0.0063648	-0.00550598
7.21	0.0063102	-0.00545951
7.22	0.00625607	-0.00541342
7.23	0.00620239	-0.00536771
7.24	0.00614917	-0.00532238
7.25	0.00609639	-0.00527743
7.26	0.00604407	-0.00523284
7.27	0.00599218	-0.00518863
7.28	0.00594073	-0.00514477
7.29	0.00588972	-0.00510129
7.3	0.00583914	-0.00505816
7.31	0.00578898	-0.00501539
7.32	0.00573925	-0.00497297
7.33	0.00568994	-0.0049309
7.34	0.00564105	-0.00488918
7.35	0.00559257	-0.00484781
7.36	0.00554451	-0.00480678
7.37	0.00549685	-0.00476609
7.38	0.00544959	-0.00472574
7.39	0.00540273	-0.00468572
7.4	0.00535627	-0.00464603
7.41	0.0053102	-0.00460667
